,year,name,lat,lon,T,P,Rh,d18o
563,1999,rodcat_gua,-18.28,-69.04,277.3000183105469,0.0029067061841487885,31.1666601257721,25.93293
506,1994,ball_v,-22.0,-66.0,282.2315979003906,0.0016166698187589645,26.93338258154695,30.56
558,1999,brie_elt,-10.98,-65.72,298.50677490234375,0.005237769801169634,82.83512777434989,21.32
479,1991,rodcat_fsa,-19.06,-69.27,278.4988098144531,0.0018067999044433236,37.769770533767996,28.06713
447,1988,rodcat_gua,-18.28,-69.04,277.2153015136719,0.0028204533737152815,36.16852733369624,30.46471
4,1940,ball_v,-22.0,-66.0,280.4123229980469,0.0019153660396113992,31.8252865539702,29.85
626,2006,brie_sel,-10.1,-66.31,298.9435729980469,0.005358523223549128,81.48020727966335,22.64
459,1989,rodcat_fsa,-19.06,-69.27,278.3262939453125,0.0017717363080009818,40.01408203413638,28.85841
204,1964,ball_v,-22.0,-66.0,280.4443054199219,0.0014814784517511725,24.19287868475975,30.695
538,1997,ball_m,-12.6,-69.2,298.2701110839844,0.006691871676594019,86.1344973230524,21.740000000000002
166,1960,rodcat_utu,-22.18,-67.14,274.3024597167969,0.0010479670017957687,21.46004931773864,27.68692
242,1968,jenkins,-12.4,-69.2,297.4821472167969,0.005955725908279419,85.50860949395293,23.292
100,1954,baker_ecu,-0.45,-78.04,282.67388916015625,0.007951156236231327,85.9933755461204,22.74
214,1965,ball_v,-22.0,-66.0,280.3917541503906,0.0015952946851029992,26.581958029983397,33.22
444,1988,ball_v,-22.0,-66.0,281.630126953125,0.0021158091258257627,31.7580354543743,29.95
360,1980,baker_ecu,-0.45,-78.04,284.10235595703125,0.006167607381939888,83.50063542439807,25.05
401,1984,brie_sel,-10.1,-66.31,298.5239562988281,0.005084013566374779,82.81636610795009,22.23
283,1972,ball_m,-12.6,-69.2,297.7748107910156,0.006360737141221762,85.53992470940935,21.485
382,1982,jenkins,-12.4,-69.2,297.8179626464844,0.007367640733718872,87.55884743799484,23.773
630,2006,rodcat_utu,-22.18,-67.14,276.5007629394531,0.0010935297468677163,21.089251736892095,26.43345
383,1982,ball_m,-12.6,-69.2,297.8179626464844,0.007367640733718872,87.55884743799484,22.255
49,1948,brie_sel,-10.1,-66.31,299.2039489746094,0.0024334422778338194,73.66755535445954,22.34
203,1964,ball_m,-12.6,-69.2,297.7275085449219,0.005100515205413103,82.19679418731141,21.93
361,1980,brie_sel,-10.1,-66.31,298.5892639160156,0.005000200588256121,83.74590335542015,22.26
359,1979,rodcat_fsa,-19.06,-69.27,278.3186340332031,0.0013378491858020425,32.99841716723555,28.0609
224,1966,ball_v,-22.0,-66.0,281.0448303222656,0.0013907266547903419,24.407831324485525,31.6
238,1967,rodcat_irr,-20.43,-68.34,278.4438781738281,0.0009560889448039234,26.681304525369615,32.74242
424,1986,ball_v,-22.0,-66.0,281.2463684082031,0.0018921146402135491,30.387848528870283,29.42
97,1953,rodcat_gua,-18.28,-69.04,276.2493896484375,0.0017655486008152366,35.94753580111228,29.35364
584,2001,rodcat_irr,-20.43,-68.34,279.66265869140625,0.0012073460966348648,27.93086257112163,32.25796
32,1945,jenkins,-12.4,-69.2,297.8597717285156,0.006110793445259333,85.69918411964768,23.085
591,2002,ortega_jam,-9.25,-63.25,299.4823913574219,0.00575678376480937,84.5424131964374,24.25
82,1952,jenkins,-12.4,-69.2,297.4098815917969,0.006325861439108849,86.4202496313185,20.918
312,1975,jenkins,-12.4,-69.2,297.6501770019531,0.006428801920264959,84.56607241369208,22.911
541,1997,rodcat_utu,-22.18,-67.14,275.523193359375,0.001169845461845398,24.023923432574886,27.5475
161,1960,brie_sel,-10.1,-66.31,298.4689636230469,0.004847195465117693,80.44056239945797,21.95
212,1965,jenkins,-12.4,-69.2,298.0255432128906,0.0050943284295499325,82.01138007452087,25.066
134,1957,ball_v,-22.0,-66.0,280.1748962402344,0.0017212977400049567,26.78932322495391,32.12
37,1946,brie_sel,-10.1,-66.31,298.4211120605469,0.005205893889069557,85.47135150133393,23.16
582,2001,rodcat_utu,-22.18,-67.14,275.5365905761719,0.0014625415205955505,26.236213112424235,25.12382
586,2002,baker_ecu,-0.45,-78.04,283.487548828125,0.0067659360356628895,87.574193189558,24.25
569,2000,jenkins,-12.4,-69.2,297.6286926269531,0.005617841612547636,85.48448677087805,23.976
513,1995,brie_sel,-10.1,-66.31,298.983154296875,0.004875509534031153,81.31676295483278,20.67
470,1991,baker_ecu,-0.45,-78.04,284.0871276855469,0.008477295748889446,86.01243394905075,25.36
451,1989,brie_sel,-10.1,-66.31,298.3492736816406,0.005833660718053579,83.2004100043451,22.61
158,1959,rodcat_irr,-20.43,-68.34,278.8670654296875,0.000992652028799057,28.225169034996977,30.42289
515,1995,jenkins,-12.4,-69.2,297.97930908203125,0.006389613728970289,84.6383813509601,24.802
198,1963,rodcat_irr,-20.43,-68.34,278.655029296875,0.0012034084647893906,26.607427464077837,32.83403
271,1971,brie_sel,-10.1,-66.31,297.8683166503906,0.005152641795575619,83.78275465065208,21.2
644,2008,brie_elt,-10.98,-65.72,298.7237854003906,0.0057457201182842255,82.1555553022371,20.32
122,1956,jenkins,-12.4,-69.2,296.7607727050781,0.0066389949060976505,87.62153256381568,23.002
650,2009,ortega_jam,-9.25,-63.25,299.387451171875,0.006624369416385889,82.66621190600031,19.883333333333336
623,2005,rodcat_irr,-20.43,-68.34,279.8852844238281,0.0010022154310718179,23.555072389367208,29.77694
438,1987,rodcat_irr,-20.43,-68.34,279.1213684082031,0.000800271809566766,30.035540628393232,32.49796
319,1975,rodcat_fsa,-19.06,-69.27,277.8246154785156,0.002387128071859479,44.45661615769658,22.75708
142,1958,jenkins,-12.4,-69.2,297.8521423339844,0.006838312838226557,85.33000792609378,22.279
288,1972,rodcat_irr,-20.43,-68.34,278.8311462402344,0.0008975869859568775,25.394205154536703,31.84841
526,1996,jenkins,-12.4,-69.2,297.8630065917969,0.006406676489859819,84.26892674101497,24.446
174,1961,ball_v,-22.0,-66.0,281.2247619628906,0.0018495507538318634,29.762101385781047,31.4
490,1993,baker_ecu,-0.45,-78.04,283.9801940917969,0.008008907549083233,85.64591170162956,24.15
379,1981,rodcat_fsa,-19.06,-69.27,277.9291687011719,0.001986804651096463,35.38056657847536,25.16866
380,1982,baker_ecu,-0.45,-78.04,284.1054992675781,0.008948871865868568,85.07395042244661,23.84
628,2006,jenkins,-12.4,-69.2,298.6236877441406,0.0066678705625236034,82.41429186466232,24.914
185,1962,ortega_jam,-9.25,-63.25,298.8837585449219,0.005645780358463526,76.65875486314482,22.7
375,1981,ortega_jam,-9.25,-63.25,298.7606506347656,0.005432587116956711,83.5152471720785,24.62
370,1981,baker_ecu,-0.45,-78.04,284.1988525390625,0.007423892617225647,84.35446391397637,23.81
620,2005,ortega_jam,-9.25,-63.25,299.6623840332031,0.005061137955635786,78.3019481021116,23.860000000000003
247,1968,rodcat_gua,-18.28,-69.04,275.4062805175781,0.002542758360505104,37.68285369704395,28.95698
175,1961,ortega_jam,-9.25,-63.25,299.6374206542969,0.003962170798331499,70.4450774264805,23.099999999999998
552,1998,rodcat_utu,-22.18,-67.14,276.4690856933594,0.0004978266661055386,17.15703162625618,26.63616
141,1958,brie_sel,-10.1,-66.31,298.771484375,0.0056075300090014935,81.53924044582305,22.39
388,1982,rodcat_irr,-20.43,-68.34,279.2191467285156,0.0009007751941680908,27.66099367386018,30.59655
301,1974,brie_sel,-10.1,-66.31,297.8505554199219,0.005578466225415468,85.27828006679026,21.14
118,1955,rodcat_irr,-20.43,-68.34,277.8062438964844,0.0009285261039622128,31.410165467324607,31.80358
40,1946,ball_v,-22.0,-66.0,280.3439025878906,0.0017722994089126587,32.80337666847907,30.875
65,1950,ortega_jam,-9.25,-63.25,298.4280090332031,0.006211672443896532,84.3660882658952,23.6
578,2001,brie_elt,-10.98,-65.72,298.7266540527344,0.005093765910714865,83.56729407965615,22.6
263,1970,ball_m,-12.6,-69.2,297.7400207519531,0.005992102902382612,85.40504390688979,23.47
607,2004,brie_sel,-10.1,-66.31,298.5282897949219,0.005580154713243246,86.22704497044838,21.65
85,1952,ortega_jam,-9.25,-63.25,298.568359375,0.006129731889814138,84.60779518746341,23.95
202,1964,jenkins,-12.4,-69.2,297.7275085449219,0.005100515205413103,82.19679418731141,23.267
468,1990,rodcat_irr,-20.43,-68.34,279.2198791503906,0.0012020952999591827,27.92372928450808,31.86694
322,1976,jenkins,-12.4,-69.2,297.7145690917969,0.0055572777055203915,81.91184840175985,23.772
600,2003,ball_m,-12.6,-69.2,298.1677551269531,0.006530055310577154,84.4746834622944,22.77
454,1989,ball_v,-22.0,-66.0,280.89471435546875,0.0019474284490570426,34.46716709421464,31.39
597,2003,brie_sel,-10.1,-66.31,298.891845703125,0.005049701314419508,83.82820052425755,22.84
474,1991,ball_v,-22.0,-66.0,281.6939697265625,0.0020606827456504107,28.76789410478633,31.855
529,1996,ortega_jam,-9.25,-63.25,298.9212341308594,0.00627804733812809,83.38290515873203,22.599999999999998
68,1950,rodcat_irr,-20.43,-68.34,278.2001647949219,0.0004815130087081343,28.404588631287265,32.67166
181,1962,brie_sel,-10.1,-66.31,298.4933166503906,0.004554124549031258,76.79157872167858,21.06
632,2006,rodcat_irr,-20.43,-68.34,280.4471435546875,0.001021152944304049,24.8172731667104,30.9121
327,1976,rodcat_gua,-18.28,-69.04,275.90673828125,0.00252925674431026,40.39705515110613,27.0518
135,1957,ortega_jam,-9.25,-63.25,299.1497497558594,0.00555858900770545,80.15631481462154,22.95
194,1963,ball_v,-22.0,-66.0,280.7030334472656,0.0018388641765341163,30.98500149494898,31.75
226,1966,rodcat_utu,-22.18,-67.14,275.33642578125,0.00032213516533374786,14.928820257053822,29.6649
211,1965,brie_sel,-10.1,-66.31,298.36468505859375,0.005024763289839029,82.05274215216681,23.45
649,2009,brie_elt,-10.98,-65.72,299.0556335449219,0.0057374718599021435,83.91743565242396,22.06
182,1962,jenkins,-12.4,-69.2,297.72930908203125,0.004942073952406645,80.1610501187387,22.613
516,1995,ball_m,-12.6,-69.2,297.97930908203125,0.006389613728970289,84.6383813509601,22.62
339,1977,rodcat_fsa,-19.06,-69.27,278.4033203125,0.0023425009567290545,44.15559326570441,24.70703
216,1965,rodcat_utu,-22.18,-67.14,274.4515380859375,0.0006744563579559326,19.18238326271965,30.28355
124,1956,ball_v,-22.0,-66.0,279.3757019042969,0.0018188003450632095,32.05266204274835,31.35
472,1991,jenkins,-12.4,-69.2,297.8232116699219,0.006916878279298544,86.18754371613456,24.162
75,1951,ortega_jam,-9.25,-63.25,298.6986999511719,0.00571703165769577,83.54325051920328,23.94
171,1961,brie_sel,-10.1,-66.31,299.0776062011719,0.003891856176778674,74.31850767607176,20.43
371,1981,brie_sel,-10.1,-66.31,298.429443359375,0.005593466106802225,83.3719047761871,21.01
325,1976,ortega_jam,-9.25,-63.25,298.3608093261719,0.005746471229940653,83.66806535673824,22.666666666666668
340,1978,baker_ecu,-0.45,-78.04,284.0274963378906,0.007060883101075888,83.3099680538911,24.87
394,1983,ball_v,-22.0,-66.0,282.2012023925781,0.0013537872582674026,23.8749038202845,30.685
548,1998,jenkins,-12.4,-69.2,298.2655334472656,0.00605866638943553,84.24810949169631,23.559
357,1979,rodcat_gua,-18.28,-69.04,276.8946838378906,0.0019479915499687195,26.217853507854844,31.6743
163,1960,ball_m,-12.6,-69.2,297.8526916503906,0.005919350311160088,83.75025248168971,22.295
464,1990,ball_v,-22.0,-66.0,281.5424499511719,0.0016856709262356162,28.908236259139198,31.104999999999997
153,1959,ball_m,-12.6,-69.2,297.87689208984375,0.005979539360851049,85.34601162244358,23.990000000000002
