,year,name,gCNN_d18o
0,1940,baker_ecu,23.565
1,1940,brie_sel,22.556
2,1940,jenkins,23.038
3,1940,ball_m,23.038
4,1940,ball_v,30.362
5,1940,ortega_jam,23.566
6,1941,baker_ecu,23.565
7,1941,brie_sel,22.556
8,1941,jenkins,23.038
9,1941,ball_m,23.038
10,1941,ball_v,30.362
11,1941,ortega_jam,23.566
12,1942,baker_ecu,23.565
13,1942,brie_sel,22.556
14,1942,jenkins,23.038
15,1942,ball_m,23.038
16,1942,ball_v,30.362
17,1942,ortega_jam,23.566
18,1943,baker_ecu,23.565
19,1943,brie_sel,22.556
20,1943,jenkins,23.038
21,1943,ball_m,23.038
22,1943,ball_v,30.362
23,1943,ortega_jam,23.566
24,1944,baker_ecu,23.565
25,1944,brie_sel,22.556
26,1944,jenkins,23.038
27,1944,ball_m,23.038
28,1944,ball_v,30.362
29,1944,ortega_jam,23.566
30,1945,baker_ecu,23.565
31,1945,brie_sel,22.556
32,1945,jenkins,23.038
33,1945,ball_m,23.038
34,1945,ball_v,30.362
35,1945,ortega_jam,23.566
36,1946,baker_ecu,23.565
37,1946,brie_sel,22.556
38,1946,jenkins,23.038
39,1946,ball_m,23.038
40,1946,ball_v,30.362
41,1946,ortega_jam,23.566
42,1947,baker_ecu,23.565
43,1947,brie_sel,22.556
44,1947,jenkins,23.038
45,1947,ball_m,23.038
46,1947,ball_v,30.362
47,1947,ortega_jam,23.566
48,1948,baker_ecu,23.565
49,1948,brie_sel,22.556
50,1948,jenkins,23.038
51,1948,ball_m,23.038
52,1948,ball_v,30.362
53,1948,ortega_jam,23.566
54,1949,baker_ecu,23.565
55,1949,brie_sel,22.556
56,1949,jenkins,23.038
57,1949,ball_m,23.038
58,1949,ball_v,30.362
59,1949,ortega_jam,23.566
60,1950,baker_ecu,23.565
61,1950,brie_sel,22.556
62,1950,jenkins,23.038
63,1950,ball_m,23.038
64,1950,ball_v,30.362
65,1950,ortega_jam,23.566
66,1950,rodcat_utu,25.018
67,1950,rodcat_gua,28.715
68,1950,rodcat_irr,30.199
69,1950,rodcat_fsa,26.746
70,1951,baker_ecu,23.565
71,1951,brie_sel,22.556
72,1951,jenkins,23.038
73,1951,ball_m,23.038
74,1951,ball_v,30.362
75,1951,ortega_jam,23.566
76,1951,rodcat_utu,25.018
77,1951,rodcat_gua,28.715
78,1951,rodcat_irr,30.199
79,1951,rodcat_fsa,26.746
80,1952,baker_ecu,23.565
81,1952,brie_sel,22.556
82,1952,jenkins,23.038
83,1952,ball_m,23.038
84,1952,ball_v,30.362
85,1952,ortega_jam,23.566
86,1952,rodcat_utu,25.018
87,1952,rodcat_gua,28.715
88,1952,rodcat_irr,30.199
89,1952,rodcat_fsa,26.746
90,1953,baker_ecu,23.565
91,1953,brie_sel,22.556
92,1953,jenkins,23.038
93,1953,ball_m,23.038
94,1953,ball_v,30.362
95,1953,ortega_jam,23.566
