year,baker_ecu,brie_elt,brie_sel,ball_v,ball_m,jenkins,ortega_jam,rodcat_gua,rodcat_fsa,rodcat_irr,rodcat_utu
1940,24.262,,21.445,29.993,22.614,23.272,23.171,,,,
1941,23.4,,21.024,27.906,22.483,23.102,22.42,,,,
1942,23.685,,23.395,26.875,24.934,26.277,26.275,,,,
1943,24.17,,21.678,26.687,23.078,23.873,23.472,,,,
1944,24.365,,21.143,26.296,22.368,22.954,22.689,,,,
1945,24.646,,21.603,29.37,22.787,23.496,23.188,,,,
1946,24.25,,21.018,29.719,22.371,22.957,22.942,,,,
1947,23.822,,20.412,28.949,22.266,22.822,21.926,,,,
1948,23.721,,23.323,30.895,25.101,26.493,25.578,,,,
1949,24.275,,22.266,29.686,23.138,23.951,24.04,,,,
1950,24.454,,21.244,28.312,22.639,23.304,23.212,25.052,24.509,31.521,26.784
1951,23.739,,21.305,28.694,22.448,23.058,23.353,25.741,23.855,30.693,25.695
1952,24.269,,21.154,28.684,22.775,23.481,23.065,28.026,25.404,31.42,26.396
1953,24.047,,20.939,29.568,22.357,22.939,22.965,28.235,26.161,31.493,25.378
1954,24.587,,21.627,29.482,23.002,23.774,23.677,26.777,25.84,31.281,25.413
1955,24.517,,21.937,29.664,23.169,23.992,24.133,26.93,24.876,30.846,25.342
1956,24.279,,20.91,30.097,22.717,23.406,22.671,27.582,25.765,31.663,27.115
1957,24.471,,21.738,31.501,23.152,23.969,24.263,32.989,29.504,32.441,27.583
1958,24.125,,21.744,30.716,22.897,23.639,24.607,30.389,27.788,32.142,27.342
1959,24.774,,21.453,31.212,22.883,23.62,23.974,27.408,25.131,31.485,27.882
1960,24.705,,22.07,31.357,23.359,24.238,24.373,29.16,27.073,31.851,27.351
1961,24.637,,23.215,30.477,24.053,25.137,27.333,24.003,22.841,30.794,26.178
1962,24.442,,22.844,31.217,24.465,25.67,25.549,28.859,28.458,32.834,29.44
1963,24.552,,23.659,30.194,24.479,25.688,27.368,27.4,26.344,31.907,26.311
1964,24.894,,21.973,32.231,23.869,24.897,24.297,33.947,32.029,33.811,30.49
1965,24.306,,21.758,31.535,23.797,24.805,23.207,33.511,30.434,32.991,28.325
1966,24.212,,22.247,32.101,24.157,25.271,24.383,33.492,31.637,33.651,30.122
